Batch_ID,Machine_ID,Operator,Shift,Test_DateTime,Chamber_Temp_C,Chamber_Pressure_PSI,Spindle_Speed_RPM,Motor_Torque_Nm,Vibration_mmps,Coolant_Flow_Lpm,Input_Voltage_V,Input_Current_A,Output_Power_kW,Ambient_Temp_C,Ambient_Humidity_pct,Cycle_Time_s,Fill_Weight_g,Seal_Strength_N,Thickness_mm,Diameter_mm,Hardness_HRC,Surface_Roughness_Ra,Noise_Level_dB,Leak_Rate_sccm,Bearing_Temp_C,Hydraulic_Pressure_Bar,Gain_Setting,Filter_Mode,Calibration_Level,Recipe_Code,Tool_Head_Index,Program_Step,Standby_Sensor_Backup_V
BATCH-1000,M-01,A.Kumar,Day,2026-01-05 06:00,186.5,42.376,2958.6,12.450,2.327,14.077,230.7,8.250,1.919,20.245,48.892,34.696,507.6,49.681,2.069,25.390,57.134,0.641,68.774,0.445,49.803,123.4,2,1,2,1,5,2,2.582
BATCH-1001,M-01,J.Lee,Night,2026-01-05 11:18,184.6,42.520,2972.0,13.264,1.823,13.648,229.2,8.658,1.836,19.297,42.244,34.391,499.8,58.786,2.005,25.521,58.212,0.612,70.182,0.583,52.107,118.5,2,1,3,1,4,2,na
BATCH-1002,M-03,S.Ortiz,Day,2026-01-05 16:36,186.9,40.980,3037.4,11.711,2.361,14.024,230.1,8.698,1.918,22.812,40.909,34.233,497.2,52.283,2.007,25.284,57.344,0.987,72.025,0.390,53.090,108.4,2,1,3,1,4,2,na
BATCH-1003,M-02,J.Lee,Day,2026-01-05 21:54,189.6,42.348,3030.5,12.903,2.507,16.054,232.6,8.604,1.981,23.139,44.983,33.576,493.9,53.039,2.106,25.399,57.674,0.839,70.047,0.522,58.153,118.5,2,1,3,1,4,2,na
BATCH-1004,M-02,R.Novak,Night,2026-01-06 03:12,184.3,42.440,2999.0,12.076,2.224,14.051,230.4,8.280,1.907,21.135,44.149,34.406,492.8,53.213,1.991,25.300,60.008,0.713,68.499,0.622,55.224,115.8,2,1,3,1,4,2,na
BATCH-1005,M-02,R.Novak,Day,2026-01-06 08:30,184.3,40.928,3005.9,11.866,2.663,17.632,230.1,8.231,1.906,18.113,42.734,33.646,493.7,59.123,2.132,25.429,59.609,0.853,70.090,0.449,51.062,113.5,2,1,3,1,4,2,na
BATCH-1006,M-01,A.Kumar,Day,2026-01-06 13:48,189.7,44.799,3063.9,12.414,1.868,15.493,227.3,8.490,1.795,21.181,48.482,34.202,501.1,48.593,2.005,25.471,56.441,0.536,68.290,0.428,55.069,115.1,2,1,3,1,4,2,na
BATCH-1007,M-01,R.Novak,Day,2026-01-06 19:06,187.3,42.711,2970.4,11.672,1.727,15.185,231.5,8.969,1.801,22.588,49.777,35.581,502.0,64.413,2.082,25.366,58.996,0.800,68.048,0.477,50.596,120.4,2,1,4,1,4,2,na
BATCH-1008,M-04,A.Kumar,Night,2026-01-07 00:24,183.6,40.213,3027.4,12.057,1.566,14.142,231.3,8.717,1.690,19.782,45.442,32.792,493.7,58.168,2.034,25.192,58.974,0.833,67.297,0.618,56.382,125.3,3,1,3,1,4,2,na
BATCH-1009,M-01,J.Lee,Night,2026-01-07 05:42,186.6,42.985,2989.9,11.542,2.549,15.700,234.3,8.352,2.162,22.275,52.388,35.368,503.6,55.670,2.080,25.416,56.622,0.892,69.800,0.519,52.964,121.3,2,1,3,1,4,2,na
